problem;set;formula;selected;occurrences
Tc1p;set0;T1+d;TRUE;2
Tc1p;set0;T1+P1;FALSE;2
Tc1p;set0;T1-P1;TRUE;5
Tc1p;set0;P1+d;TRUE;3
Tc1p;set0;T1-d;TRUE;119
Tc1p;set1;T1+(P1+d);FALSE;0
Tc1p;set1;(T1+d)+P1;FALSE;0
Tc1p;set1;(T1+P1)-d;FALSE;22
Tc1p;set1;T1-(P1-d);TRUE;0
Tc1p;set1;(T1+d)-P1;TRUE;1
Tc1p;set1;(T1-P1)-d;TRUE;5
Tc1p;set1;(T1-P1)+d;TRUE;2
Tc1p;set1;(T1-d)+P1;FALSE;0
Tc1p;set1;T1+(P1-d);FALSE;0
Tc1p;set1;(T1+P1)+d;FALSE;2
Tc1p;set1;(T1-d)-P1;TRUE;26
Tc1p;set1;T1-(P1+d);FALSE;1
Tc1p;set2;T1+(T1-d);FALSE;0
Tc1p;set2;P1+(P1-d);FALSE;0
Tc1p;set2;(T1-d)-d;TRUE;0
Tc1p;set2;(P1-d)+d;FALSE;0
Tc1p;set2;(T1+d)-d;FALSE;1
Tc1p;set2;T1-(T1-d);TRUE;1
Tc1p;set2;(T1+P1)-P1;FALSE;0
Tc1p;set2;(T1+P1)-T1;TRUE;0
Tc1p;set2;(T1+P1)+T1;FALSE;0
Tc1p;set2;(P1-d)-d;FALSE;0
Tc1p;set2;(T1+P1)+P1;FALSE;0
Tc1p;set2;T1-(T1-P1);TRUE;0
Tc1p;set2;(T1-P1)-P1;TRUE;0
Tc1p;set2;(T1-P1)+P1;FALSE;0
Tc1p;set2;(T1+d)+d;FALSE;0
Tc1p;set2;(P1+d)+P1;FALSE;0
Tc1p;set2;(T1+d)-T1;TRUE;0
Tc1p;set2;P1-(P1-d);TRUE;0
Tc1p;set2;(P1+d)-P1;FALSE;0
Tc1p;set2;(T1-d)+d;FALSE;1
Tc1p;set2;(P1+d)+d;FALSE;0
Tc1p;set2;T1+(T1-P1);FALSE;0
Tc1p;set2;(P1+d)-d;FALSE;0
Tc1p;set2;(T1+d)+T1;FALSE;0
Tc1p;set3;(T1+d)+(T1-P1);FALSE;0
Tc1p;set3;((T1-d)+P1)+d;FALSE;0
Tc1p;set3;T1-((P1+d)-d);FALSE;0
Tc1p;set3;T1+((P1+d)-P1);FALSE;0
Tc1p;set3;(T1+P1)-(P1-d);FALSE;0
Tc1p;set3;T1-((P1+d)-P1);FALSE;0
Tc1p;set3;(T1+(T1-P1))+d;FALSE;0
Tc1p;set3;P1-(T1-(P1+d));FALSE;0
Tc1p;set3;(T1-d)+(T1-P1);FALSE;0
Tc1p;set3;T1+((T1+d)-P1);FALSE;0
Tc1p;set3;((T1+P1)+T1)-d;FALSE;0
Tc1p;set3;T1+(P1+(P1-d));FALSE;0
Tc1p;set3;((T1+d)+P1)+d;FALSE;0
Tc1p;set3;T1+((P1+d)+d);FALSE;0
Tc1p;set3;T1-((P1+d)+P1);FALSE;0
Tc1p;set3;(T1+P1)+(T1-d);FALSE;0
Tc1p;set3;T1+((P1+d)-d);FALSE;0
Tc1p;set3;(T1+P1)-(T1+d);FALSE;0
Tc1p;set3;((T1-P1)+d)-d;FALSE;0
Tc1p;set3;((T1-P1)+P1)-d;FALSE;0
Tc1p;set3;P1+(T1-(T1-d));FALSE;0
Tc1p;set3;(T1+P1)+(P1+d);FALSE;0
Tc1p;set3;((T1+P1)+d)+d;FALSE;0
Tc1p;set3;(T1-(P1-d))+d;FALSE;0
Tc1p;set3;(T1+(P1-d))-T1;FALSE;0
Tc1p;set3;P1-((T1-d)-P1);FALSE;0
Tc1p;set3;T1+((P1+d)+P1);FALSE;0
Tc1p;set3;((T1-d)+P1)-P1;FALSE;0
Tc1p;set3;((T1-d)-P1)-d;FALSE;0
Tc1p;set3;T1+(P1-(P1-d));FALSE;0
Tc1p;set3;(T1-d)-(P1-d);TRUE;0
Tc1p;set3;T1+((P1-d)-d);FALSE;0
Tc1p;set3;(T1-P1)-(P1-d);TRUE;0
Tc1p;set3;T1-((P1+d)+d);FALSE;0
Tc1p;set3;((T1+d)+T1)-P1;FALSE;0
Tc1p;set3;((T1+P1)-T1)+d;FALSE;0
Tc1p;set3;(T1+(P1+d))+P1;FALSE;0
Tc1p;set3;(T1+(P1+d))-T1;FALSE;0
Tc1p;set3;T1+(T1-(P1+d));FALSE;0
Tc1p;set3;P1+((T1-P1)-d);FALSE;0
Tc1p;set3;((T1-P1)+d)-P1;FALSE;0
Tc1p;set3;((T1+P1)+T1)+d;FALSE;0
Tc1p;set3;((T1+d)+d)+P1;FALSE;0
Tc1p;set3;(T1-(P1+d))+d;FALSE;0
Tc1p;set3;(T1-P1)+(P1-d);FALSE;1
Tc1p;set3;((T1+d)-d)+P1;FALSE;0
Tc1p;set3;((T1-d)+P1)-d;FALSE;0
Tc1p;set3;(T1+P1)-(P1+d);FALSE;0
Tc1p;set3;((T1+P1)+P1)-d;FALSE;0
Tc1p;set3;T1+((T1-P1)-d);FALSE;0
Tc1p;set3;(T1+(P1+d))+d;FALSE;0
Tc1p;set3;((T1-d)-d)-P1;FALSE;0
Tc1p;set3;((T1+P1)-P1)-d;TRUE;0
Tc1p;set3;T1-((T1-P1)+d);FALSE;0
Tc1p;set3;T1-(T1-(P1+d));FALSE;0
Tc1p;set3;d+((T1-P1)-P1);FALSE;0
Tc1p;set3;((T1+P1)+d)+T1;FALSE;0
Tc1p;set3;((T1+P1)-d)+T1;FALSE;0
Tc1p;set3;(T1+(P1-d))+P1;FALSE;0
Tc1p;set3;(T1+(T1-d))-P1;FALSE;0
Tc1p;set3;((T1+d)+P1)-P1;FALSE;0
Tc1p;set3;T1-((P1-d)-d);FALSE;0
Tc1p;set3;((T1+d)-P1)+P1;FALSE;0
Tc1p;set3;((T1-d)+P1)+T1;FALSE;0
Tc1p;set3;((T1+P1)-d)+P1;FALSE;0
Tc1p;set3;((T1+P1)+d)-T1;TRUE;0
Tc1p;set3;(T1-d)+(P1-d);FALSE;0
Tc1p;set3;((T1-P1)+d)+d;FALSE;0
Tc1p;set3;(T1-(T1-P1))-d;TRUE;0
Tc1p;set3;((T1-P1)-d)+d;FALSE;0
Tc1p;set3;T1-((T1+d)-P1);FALSE;0
Tc1p;set3;(T1+(P1-d))+d;FALSE;0
Tc1p;set3;((T1+P1)-d)-T1;TRUE;0
Tc1p;set3;(T1-P1)+(P1+d);FALSE;0
Tc1p;set3;T1-(T1-(P1-d));FALSE;0
Tc1p;set3;T1-(P1-(P1-d));FALSE;0
Tc1p;set3;((T1-d)+d)+P1;FALSE;0
Tc1p;set3;((T1+d)+P1)+T1;FALSE;0
Tc1p;set3;(T1-(P1+d))-d;FALSE;0
Tc1p;set3;((T1+d)-d)-P1;FALSE;0
Tc1p;set3;(T1+d)+(P1+d);FALSE;0
Tc1p;set3;((T1-P1)+d)+P1;FALSE;0
Tc1p;set3;(T1-d)-(P1+d);FALSE;0
Tc1p;set3;(T1+d)-(T1-P1);TRUE;0
Tc1p;set3;P1+((T1-d)-P1);FALSE;0
Tc1p;set3;(T1+P1)-(T1-d);TRUE;0
Tc1p;set3;(P1+d)-(T1-P1);FALSE;0
Tc1p;set3;P1-(T1-(T1-d));TRUE;0
Tc1p;set3;((T1+P1)-d)-P1;TRUE;0
Tc1p;set3;T1+((T1-P1)+d);FALSE;0
Tc1p;set3;((T1-d)+P1)-T1;FALSE;0
Tc1p;set3;d-((T1-P1)-P1);FALSE;0
Tc1p;set3;P1+(T1-(P1+d));FALSE;0
Tc1p;set3;P1-((T1+d)-T1);FALSE;0
Tc1p;set3;((T1+P1)+P1)+d;FALSE;0
Tc1p;set3;(T1+(P1-d))-P1;FALSE;0
Tc1p;set3;((T1+P1)+d)-P1;FALSE;0
Tc1p;set3;T1-((T1-d)-P1);FALSE;0
Tc1p;set3;(T1+(T1-P1))-d;FALSE;0
Tc1p;set3;((T1-P1)-d)-d;TRUE;0
Tc1p;set3;(T1+d)+(P1-d);FALSE;0
Tc1p;set3;((T1+P1)-T1)-d;FALSE;0
Tc1p;set3;((T1+P1)-d)+d;FALSE;0
Tc1p;set3;((T1+P1)-P1)+d;FALSE;0
Tc1p;set3;((T1-d)-d)+P1;FALSE;0
Tc1p;set3;(T1-(P1-d))-P1;FALSE;0
Tc1p;set3;((T1+d)-P1)-d;FALSE;0
Tc1p;set3;T1-(P1+(P1-d));FALSE;0
Tc1p;set3;(T1-d)+(P1+d);FALSE;0
Tc1p;set3;(T1+P1)+(T1+d);FALSE;0
Tc1p;set3;(T1+(P1+d))+T1;FALSE;0
Tc1p;set3;((T1-P1)+P1)+d;FALSE;0
Tc1p;set3;T1+(T1-(P1-d));FALSE;0
Tc1p;set3;T1+((T1-d)-P1);FALSE;0
Tc1p;set3;(T1-P1)-(P1+d);FALSE;0
Tc1p;set3;(T1+d)-(P1-d);FALSE;0
Tc1p;set3;((T1+P1)+d)-d;FALSE;0
Tc1p;set3;((T1+P1)-d)-d;FALSE;0
Tc1p;set3;(P1+d)+(T1-P1);FALSE;0
Tc1p;set3;(T1+(T1-d))+P1;FALSE;0
Tc1p;set3;(T1+(P1-d))-d;FALSE;0
Tc1p;set3;((T1+P1)+d)+P1;FALSE;0
Tc1p;set3;((T1+d)+d)-P1;FALSE;0
Tc1p;set3;((T1+d)+P1)-d;FALSE;0
Tc1p;set3;((T1-d)+d)-P1;FALSE;0
Tc1p;set3;T1-((T1-P1)-d);TRUE;0
Tc1p;set3;((T1+d)+P1)+P1;FALSE;0
Tc1p;set3;((T1+d)+P1)-T1;FALSE;0
Tc1p;set3;(T1+(P1+d))-P1;FALSE;0
Tc1p;set3;T1+((P1-d)+d);FALSE;0
Tc1p;set3;((T1-d)+P1)+P1;FALSE;0
Tc1p;set3;(T1+P1)+(P1-d);FALSE;0
Tc1p;set3;((T1+d)-P1)+d;FALSE;0
Tc1p;set3;((T1+d)+T1)+P1;FALSE;0
Tc1p;set3;(T1+(P1-d))+T1;FALSE;0
Tc1p;set3;(T1+d)-(P1+d);FALSE;0
Tc1p;set3;(T1-(P1-d))+P1;FALSE;0
Tc1p;set3;(T1+(P1+d))-d;FALSE;0
Tc1p;set3;T1-((P1-d)+d);FALSE;0
Tc1p;set3;(T1-(P1-d))-d;FALSE;0
Tc1p;set3;((T1-d)-P1)+d;FALSE;0
Tc1p;set3;P1+((T1+d)-T1);FALSE;0
Tc1p;set3;P1-((T1-P1)-d);FALSE;0
Tc1p;set3;(T1-(T1-P1))+d;FALSE;0
Tc1p;set3;((T1+d)-P1)-P1;FALSE;0
Tc2t;set0;T1+d;TRUE;10
Tc2t;set0;T1+P1;TRUE;0
Tc2t;set0;P1-d;TRUE;5
Tc2t;set0;T1-P1;FALSE;0
Tc2t;set0;P1+d;TRUE;2
Tc2t;set1;T1+(P1+d);TRUE;0
Tc2t;set1;(T1+d)+P1;FALSE;0
Tc2t;set1;(T1+P1)-d;TRUE;8
Tc2t;set1;T1-(P1-d);TRUE;5
Tc2t;set1;(T1+d)-P1;FALSE;0
Tc2t;set1;(T1-P1)-d;TRUE;23
Tc2t;set1;(T1-P1)+d;TRUE;13
Tc2t;set1;(T1-d)+P1;FALSE;0
Tc2t;set1;T1+(P1-d);TRUE;5
Tc2t;set1;(T1+P1)+d;TRUE;1
Tc2t;set1;(T1-d)-P1;FALSE;0
Tc2t;set1;T1-(P1+d);TRUE;0
Tc2t;set2;T1+(T1-d);FALSE;0
Tc2t;set2;P1+(P1-d);TRUE;0
Tc2t;set2;(T1-d)-d;FALSE;0
Tc2t;set2;(P1-d)+d;TRUE;0
Tc2t;set2;(T1+d)-d;FALSE;0
Tc2t;set2;T1-(T1-d);FALSE;0
Tc2t;set2;(T1+P1)-P1;FALSE;0
Tc2t;set2;(T1+P1)-T1;FALSE;0
Tc2t;set2;(T1+P1)+T1;FALSE;0
Tc2t;set2;(P1-d)-d;FALSE;0
Tc2t;set2;(T1+P1)+P1;FALSE;0
Tc2t;set2;T1-(T1-P1);FALSE;0
Tc2t;set2;(T1-P1)-P1;FALSE;0
Tc2t;set2;(T1-P1)+P1;TRUE;0
Tc2t;set2;(T1+d)+d;FALSE;0
Tc2t;set2;(P1+d)+P1;TRUE;0
Tc2t;set2;(T1+d)-T1;FALSE;0
Tc2t;set2;P1-(P1-d);TRUE;0
Tc2t;set2;(P1+d)-P1;TRUE;0
Tc2t;set2;(T1-d)+d;FALSE;0
Tc2t;set2;(P1+d)+d;FALSE;0
Tc2t;set2;T1+(T1-P1);FALSE;0
Tc2t;set2;(P1+d)-d;FALSE;0
Tc2t;set2;(T1+d)+T1;FALSE;0
Tc2t;set3;(T1+d)+(T1-P1);FALSE;0
Tc2t;set3;((T1-d)+P1)+d;FALSE;0
Tc2t;set3;T1-((P1+d)-d);FALSE;0
Tc2t;set3;T1+((P1+d)-P1);FALSE;0
Tc2t;set3;(T1+P1)-(P1-d);TRUE;0
Tc2t;set3;T1-((P1+d)-P1);FALSE;0
Tc2t;set3;(T1+(T1-P1))+d;FALSE;0
Tc2t;set3;((T1+P1)-d)-d;FALSE;0
Tc2t;set3;(T1-d)+(T1-P1);FALSE;0
Tc2t;set3;T1+((T1+d)-P1);FALSE;0
Tc2t;set3;((T1-d)-P1)+P1;FALSE;0
Tc2t;set3;((T1+P1)+T1)-d;FALSE;0
Tc2t;set3;T1+(P1+(P1-d));FALSE;0
Tc2t;set3;((T1+d)+P1)+d;FALSE;0
Tc2t;set3;T1+((P1+d)+d);FALSE;0
Tc2t;set3;T1-((P1+d)+P1);FALSE;0
Tc2t;set3;(T1+P1)+(T1-d);FALSE;0
Tc2t;set3;T1+((P1+d)-d);FALSE;0
Tc2t;set3;(T1+P1)-(T1+d);FALSE;0
Tc2t;set3;((T1-P1)+d)-d;FALSE;0
Tc2t;set3;(T1-(P1+d))+P1;FALSE;0
Tc2t;set3;((T1-P1)+P1)-d;TRUE;0
Tc2t;set3;P1+(T1-(T1-d));FALSE;0
Tc2t;set3;(T1+P1)+(P1+d);FALSE;0
Tc2t;set3;((T1+P1)+d)+d;FALSE;0
Tc2t;set3;(T1-(P1-d))+d;FALSE;0
Tc2t;set3;(T1+(P1-d))-T1;FALSE;0
Tc2t;set3;T1+((P1+d)+P1);FALSE;0
Tc2t;set3;((T1+d)+d)-P1;FALSE;0
Tc2t;set3;((T1-d)+P1)-P1;FALSE;0
Tc2t;set3;((T1-d)-P1)-d;FALSE;0
Tc2t;set3;T1+(P1-(P1-d));FALSE;0
Tc2t;set3;(T1-d)-(P1-d);FALSE;0
Tc2t;set3;T1+((P1-d)-d);FALSE;0
Tc2t;set3;(T1-P1)-(P1-d);FALSE;0
Tc2t;set3;((T1-P1)-d)-P1;FALSE;0
Tc2t;set3;T1-((P1+d)+d);FALSE;0
Tc2t;set3;((T1+d)+T1)-P1;FALSE;0
Tc2t;set3;((T1+P1)-T1)+d;FALSE;0
Tc2t;set3;(T1+(P1+d))+P1;FALSE;0
Tc2t;set3;(T1+(P1+d))-T1;FALSE;0
Tc2t;set3;T1+(T1-(P1+d));FALSE;0
Tc2t;set3;((T1-P1)+d)-P1;FALSE;0
Tc2t;set3;((T1+P1)+T1)+d;FALSE;0
Tc2t;set3;((T1+d)+d)+P1;FALSE;0
Tc2t;set3;(T1-(P1+d))+d;FALSE;0
Tc2t;set3;((T1+d)-d)+P1;FALSE;0
Tc2t;set3;((T1-d)+P1)-d;FALSE;0
Tc2t;set3;(T1+P1)-(P1+d);TRUE;0
Tc2t;set3;((T1+P1)+P1)-d;FALSE;0
Tc2t;set3;T1+((T1-P1)-d);TRUE;1
Tc2t;set3;(T1+(P1+d))+d;FALSE;0
Tc2t;set3;((T1-d)-d)-P1;FALSE;0
Tc2t;set3;((T1+P1)-P1)-d;FALSE;0
Tc2t;set3;(T1-(P1+d))-P1;FALSE;0
Tc2t;set3;T1-((T1-P1)+d);TRUE;0
Tc2t;set3;T1-(T1-(P1+d));FALSE;0
Tc2t;set3;((T1+P1)+d)+T1;FALSE;0
Tc2t;set3;((T1+P1)-d)+T1;FALSE;0
Tc2t;set3;(T1+(P1-d))+P1;FALSE;0
Tc2t;set3;(T1+(T1-d))-P1;FALSE;0
Tc2t;set3;((T1+d)+P1)-P1;FALSE;0
Tc2t;set3;T1-((P1-d)-d);FALSE;0
Tc2t;set3;((T1+d)-P1)+P1;FALSE;0
Tc2t;set3;((T1-d)+P1)+T1;FALSE;0
Tc2t;set3;((T1+P1)-d)+P1;FALSE;0
Tc2t;set3;((T1+P1)+d)-T1;FALSE;0
Tc2t;set3;(T1-d)+(P1-d);TRUE;0
Tc2t;set3;((T1-P1)+d)+d;FALSE;0
Tc2t;set3;(T1-(T1-P1))-d;FALSE;0
Tc2t;set3;(T1-d)-(T1-P1);FALSE;0
Tc2t;set3;((T1-P1)-d)+d;TRUE;0
Tc2t;set3;T1-((T1+d)-P1);FALSE;0
Tc2t;set3;(T1+(P1-d))+d;FALSE;0
Tc2t;set3;((T1+P1)-d)-T1;FALSE;0
Tc2t;set3;(T1-P1)+(P1+d);TRUE;0
Tc2t;set3;T1-(T1-(P1-d));FALSE;0
Tc2t;set3;((T1-P1)-P1)-d;FALSE;0
Tc2t;set3;T1-(P1-(P1-d));TRUE;0
Tc2t;set3;((T1-d)+d)+P1;FALSE;0
Tc2t;set3;((T1+d)+P1)+T1;FALSE;0
Tc2t;set3;(T1-(P1+d))-d;FALSE;0
Tc2t;set3;((T1-d)-P1)-P1;FALSE;0
Tc2t;set3;((T1+d)-d)-P1;FALSE;0
Tc2t;set3;(T1+d)+(P1+d);FALSE;0
Tc2t;set3;((T1-P1)+d)+P1;TRUE;0
Tc2t;set3;(T1-d)-(P1+d);FALSE;0
Tc2t;set3;(T1+d)-(T1-P1);FALSE;0
Tc2t;set3;(T1+P1)-(T1-d);FALSE;0
Tc2t;set3;(T1+P1)+(P1-d);FALSE;0
Tc2t;set3;P1-(T1-(T1-d));FALSE;0
Tc2t;set3;((T1+P1)-d)-P1;FALSE;0
Tc2t;set3;T1+((T1-P1)+d);FALSE;0
Tc2t;set3;((T1-d)+P1)-T1;FALSE;0
Tc2t;set3;((T1+d)-P1)-d;FALSE;0
Tc2t;set3;P1-((T1+d)-T1);FALSE;0
Tc2t;set3;((T1+P1)+P1)+d;FALSE;0
Tc2t;set3;(T1+(P1-d))-P1;FALSE;0
Tc2t;set3;((T1+P1)+d)-P1;FALSE;0
Tc2t;set3;T1-((T1-d)-P1);FALSE;0
Tc2t;set3;(T1+(T1-P1))-d;TRUE;0
Tc2t;set3;((T1-P1)-d)-d;TRUE;0
Tc2t;set3;(T1+d)+(P1-d);FALSE;0
Tc2t;set3;((T1+P1)-T1)-d;FALSE;0
Tc2t;set3;((T1+P1)-d)+d;FALSE;0
Tc2t;set3;((T1+P1)-P1)+d;FALSE;0
Tc2t;set3;((T1-d)-d)+P1;FALSE;0
Tc2t;set3;(T1-(P1-d))-P1;FALSE;0
Tc2t;set3;((T1+P1)+d)-d;FALSE;0
Tc2t;set3;T1-(P1+(P1-d));FALSE;0
Tc2t;set3;(T1-d)+(P1+d);FALSE;0
Tc2t;set3;(T1+P1)+(T1+d);FALSE;0
Tc2t;set3;(T1+(P1+d))+T1;FALSE;0
Tc2t;set3;((T1-P1)+P1)+d;FALSE;0
Tc2t;set3;T1+(T1-(P1-d));FALSE;0
Tc2t;set3;T1+((T1-d)-P1);FALSE;0
Tc2t;set3;(T1-P1)-(P1+d);FALSE;0
Tc2t;set3;(T1+d)-(P1-d);FALSE;0
Tc2t;set3;((T1+d)+P1)-d;FALSE;0
Tc2t;set3;(T1+(T1-d))+P1;FALSE;0
Tc2t;set3;(T1+(P1-d))-d;FALSE;0
Tc2t;set3;((T1+P1)+d)+P1;FALSE;0
Tc2t;set3;((T1-P1)-P1)+d;FALSE;0
Tc2t;set3;((T1-d)+d)-P1;FALSE;0
Tc2t;set3;T1-((T1-P1)-d);TRUE;0
Tc2t;set3;((T1+d)+P1)+P1;FALSE;0
Tc2t;set3;((T1-P1)-d)+P1;TRUE;0
Tc2t;set3;((T1+d)+P1)-T1;FALSE;0
Tc2t;set3;(T1+(P1+d))-P1;FALSE;0
Tc2t;set3;T1+((P1-d)+d);FALSE;0
Tc2t;set3;((T1-d)+P1)+P1;FALSE;0
Tc2t;set3;((T1+d)-P1)+d;FALSE;0
Tc2t;set3;((T1+d)+T1)+P1;FALSE;0
Tc2t;set3;(T1+(P1-d))+T1;FALSE;0
Tc2t;set3;(T1+d)-(P1+d);FALSE;0
Tc2t;set3;(T1-(P1-d))+P1;FALSE;0
Tc2t;set3;(T1+(P1+d))-d;FALSE;0
Tc2t;set3;T1-((P1-d)+d);FALSE;0
Tc2t;set3;(T1-(P1-d))-d;FALSE;0
Tc2t;set3;((T1-d)-P1)+d;FALSE;0
Tc2t;set3;P1+((T1+d)-T1);FALSE;0
Tc2t;set3;(T1-(T1-P1))+d;FALSE;0
Tc2t;set3;((T1+d)-P1)-P1;FALSE;0
Cc4p;set0;T1+d;TRUE;1
Cc4p;set0;T1+P1;FALSE;1
Cc4p;set0;T1-P1;FALSE;9
Cc4p;set0;P1+d;FALSE;0
Cc4p;set0;T1-d;TRUE;48
Cc4p;set1;T1+(P1+d);FALSE;0
Cc4p;set1;(T1+d)+P1;FALSE;0
Cc4p;set1;(T1+P1)-d;FALSE;4
Cc4p;set1;T1-(P1-d);FALSE;0
Cc4p;set1;(T1+d)-P1;FALSE;0
Cc4p;set1;(T1-P1)-d;TRUE;12
Cc4p;set1;(T1-P1)+d;FALSE;0
Cc4p;set1;(T1-d)+P1;FALSE;1
Cc4p;set1;T1+(P1-d);FALSE;0
Cc4p;set1;(T1+P1)+d;FALSE;0
Cc4p;set1;(T1-d)-P1;TRUE;15
Cc4p;set1;T1-(P1+d);FALSE;0
Cc4p;set2;P1-(T1-P1);FALSE;0
Cc4p;set2;T1+(T1-d);FALSE;0
Cc4p;set2;P1+(P1-d);FALSE;0
Cc4p;set2;(T1-d)-d;TRUE;0
Cc4p;set2;(P1-d)+d;FALSE;0
Cc4p;set2;(T1+d)-d;TRUE;0
Cc4p;set2;T1-(T1-d);TRUE;1
Cc4p;set2;(T1+P1)-P1;FALSE;0
Cc4p;set2;(T1+P1)-T1;FALSE;0
Cc4p;set2;(T1+P1)+T1;FALSE;0
Cc4p;set2;(P1-d)-d;FALSE;0
Cc4p;set2;(T1+P1)+P1;FALSE;0
Cc4p;set2;T1-(T1-P1);FALSE;1
Cc4p;set2;T1+(T1-P1);FALSE;0
Cc4p;set2;P1+(T1-P1);FALSE;0
Cc4p;set2;(T1+d)+d;FALSE;0
Cc4p;set2;(P1+d)+P1;FALSE;0
Cc4p;set2;(T1+d)-T1;TRUE;0
Cc4p;set2;P1-(P1-d);FALSE;0
Cc4p;set2;(P1+d)-P1;FALSE;0
Cc4p;set2;(T1-d)+d;FALSE;0
Cc4p;set2;(P1+d)+d;FALSE;0
Cc4p;set2;(P1+d)-d;FALSE;0
Cc4p;set2;(T1+d)+T1;FALSE;0
Cc4p;set3;(P1-(T1-P1))+d;FALSE;0
Cc4p;set3;(T1+d)+(T1-P1);FALSE;0
Cc4p;set3;((T1-d)+P1)+d;FALSE;0
Cc4p;set3;T1-((P1+d)-d);FALSE;0
Cc4p;set3;T1+((P1+d)-P1);FALSE;0
Cc4p;set3;(T1+P1)-(P1-d);FALSE;0
Cc4p;set3;T1-((P1+d)-P1);FALSE;0
Cc4p;set3;(T1+(T1-P1))+d;FALSE;0
Cc4p;set3;(T1-(P1+d))+d;FALSE;0
Cc4p;set3;(T1-d)+(T1-P1);FALSE;0
Cc4p;set3;T1+((T1+d)-P1);FALSE;0
Cc4p;set3;P1+((T1+d)-P1);FALSE;0
Cc4p;set3;((T1+P1)+T1)-d;FALSE;0
Cc4p;set3;((T1+d)+P1)+d;FALSE;0
